KOD,MESTO,VOLICI V SEZNAMU,VYDANE OBALKY,PLATNE HLASY,Obèanská demokratická strana v %,Øád národa - Vlastenecká unie v %,CESTA ODPOVÌDNÉ SPOLEÈNOSTI v %,Èeská str.sociálnì demokratická v %,Cibulka v %,Radostné Èesko v %,STAROSTOVÉ A NEZÁVISLÍ v %,Komunistická str.Èech a Moravy v %,Strana zelenıch v %,"ROZUMNÍ-stop migraci,diktát.EU v %",Spoleè.proti vıst.v Prok.údolí v %,Strana svobodnıch obèanù v %,Blok proti islam.-Obran.domova v %,Obèanská demokratická aliance v %,Èeská pirátská strana v %,OBÈANÉ 2011-SPRAVEDL. PRO LIDI v %,Unie H.A.V.E.L. v %,Èeská národní fronta v %,Referendum o Evropské unii v %,TOP 09 v %,ANO 2011 v %,Dobrá volba 2016 v %,Èeská strana národnì sociální v %,SPR-Republ.str.Èsl. M.Sládka v %,Køes.demokr.unie-Ès.str.lid. v %,REALISTÉ v %,SPORTOVCI v %,Dìlnic.str.sociální spravedl. v %,Svob.a pø.dem.-T.Okamura (SPD) v %,Strana Práv Obèanù v %,Narod_sobì v %
552330,Hlásnice,159,91,91,"7,69","0,00","0,00","4,39",nekandiduje,"0,00","1,09","5,49","1,09","0,00",nekandiduje,"4,39","0,00","0,00","8,79",nekandiduje,nekandiduje,nekandiduje,"0,00","9,89","27,47","0,00","0,00","0,00","16,48","0,00","0,00","0,00","13,18","0,00",nekandiduje
502146,Hluboèky,3 544,1 929,1 920,"7,23","0,05","0,05","8,90",nekandiduje,"0,00","2,03","12,03","1,35","1,14",nekandiduje,"1,71","0,10","0,10","8,64",nekandiduje,nekandiduje,nekandiduje,"0,00","1,66","34,94","0,00","0,05","0,36","5,41","0,67","0,15","0,20","12,70","0,41",nekandiduje
552020,Hlušovice,638,440,439,"14,12","0,22","0,45","9,79",nekandiduje,"0,00","4,32","3,18","2,27","0,68",nekandiduje,"0,91","0,00","0,00","8,65",nekandiduje,nekandiduje,nekandiduje,"0,22","5,92","31,20","0,00","0,00","0,22","5,92","1,36","0,22","0,00","10,02","0,22",nekandiduje
502235,Hnìvotín,1 350,869,862,"12,64","0,23","0,23","7,88",nekandiduje,"0,11","4,17","6,38","1,04","0,34",nekandiduje,"0,81","0,00","0,11","8,93",nekandiduje,nekandiduje,nekandiduje,"0,11","4,17","31,43","0,11","0,00","0,11","5,68","0,69","0,23","0,00","14,26","0,23",nekandiduje
502405,Hnojice,488,303,303,"8,25","0,33","0,00","4,62",nekandiduje,"0,00","2,31","5,94","2,31","1,32",nekandiduje,"1,98","0,33","0,33","3,96",nekandiduje,nekandiduje,nekandiduje,"0,66","3,96","32,34","0,66","0,00","0,33","11,88","0,66","0,33","0,33","16,17","0,99",nekandiduje
502545,Horka nad Moravou,1 919,1 277,1 271,"10,14","0,07","0,23","4,87",nekandiduje,"0,15","7,15","7,86","0,70","0,62",nekandiduje,"0,86","0,23","0,15","8,33",nekandiduje,nekandiduje,nekandiduje,"0,00","4,01","32,57","0,00","0,15","0,07","5,58","0,23","0,55","0,31","14,87","0,15",nekandiduje
569798,Horní Lodìnice,267,123,123,"4,87","0,00","0,00","4,87",nekandiduje,"0,00","5,69","21,13","1,62","0,00",nekandiduje,"2,43","1,62","0,81","7,31",nekandiduje,nekandiduje,nekandiduje,"0,00","2,43","26,01","0,00","0,00","0,81","8,94","0,00","0,00","0,00","10,56","0,81",nekandiduje
546976,Hranièné Petrovice,117,73,73,"12,32","0,00","0,00","2,73",nekandiduje,"0,00","6,84","21,91","0,00","4,10",nekandiduje,"2,73","0,00","0,00","5,47",nekandiduje,nekandiduje,nekandiduje,"0,00","2,73","24,65","0,00","0,00","0,00","8,21","1,36","0,00","1,36","4,10","1,36",nekandiduje
597414,Huzová,479,222,221,"4,07","0,00","0,45","7,23",nekandiduje,"0,00","3,61","12,66","0,00","0,45",nekandiduje,"0,90","0,00","0,00","9,04",nekandiduje,nekandiduje,nekandiduje,"0,00","2,26","27,14","0,00","0,00","0,00","4,52","0,45","0,45","0,00","26,24","0,45",nekandiduje
568872,Charváty,675,428,425,"4,94","0,70","0,23","4,47",nekandiduje,"0,00","2,82","6,58","0,23","0,47",nekandiduje,"1,64","0,47","0,23","7,05",nekandiduje,nekandiduje,nekandiduje,"0,00","3,05","32,47","0,47","0,00","0,94","20,00","0,00","0,23","0,00","12,70","0,23",nekandiduje
502839,Cholina,580,371,366,"5,19","0,00","0,27","6,28",nekandiduje,"0,00","3,00","11,74","0,54","1,36",nekandiduje,"1,63","0,00","0,00","7,10",nekandiduje,nekandiduje,nekandiduje,"0,27","3,82","28,41","0,27","0,00","0,27","16,39","0,00","0,27","0,54","11,74","0,81",nekandiduje
503142,Jívová,476,278,275,"5,81","0,00","0,00","4,00",nekandiduje,"0,00","3,27","14,54","1,09","1,45",nekandiduje,"1,09","0,36","0,00","11,27",nekandiduje,nekandiduje,nekandiduje,"0,00","1,09","39,27","0,00","0,00","0,36","3,63","0,72","1,81","0,36","9,45","0,36",nekandiduje
547123,Komárov,161,112,112,"14,28","0,00","0,00","4,46",nekandiduje,"0,00","1,78","12,50","0,00","0,00",nekandiduje,"0,89","0,00","0,89","6,25",nekandiduje,nekandiduje,nekandiduje,"0,00","1,78","29,46","0,00","0,00","1,78","8,92","0,89","0,00","0,00","16,07","0,00",nekandiduje
500135,Kozlov,216,102,102,"0,98","0,98","0,00","18,62",nekandiduje,"0,00","2,94","12,74","0,98","0,98",nekandiduje,"0,98","0,00","0,98","11,76",nekandiduje,nekandiduje,nekandiduje,"0,98","1,96","30,39","0,00","0,00","1,96","0,98","0,00","0,00","0,00","11,76","0,00",nekandiduje
503304,Koušany-Táaly,682,457,453,"8,38","0,00","0,00","8,38",nekandiduje,"0,00","4,63","7,50","2,42","0,88",nekandiduje,"0,44","0,22","0,22","7,94",nekandiduje,nekandiduje,nekandiduje,"0,22","2,20","33,77","0,00","0,00","0,22","14,56","0,22","0,00","0,66","6,84","0,22",nekandiduje
552437,Krèmaò,375,252,247,"6,47","0,00","0,00","6,88",nekandiduje,"0,80","2,02","12,95","0,40","2,02",nekandiduje,"0,00","0,40","0,00","8,90",nekandiduje,nekandiduje,nekandiduje,"0,00","2,83","31,57","0,00","0,00","0,40","10,52","0,40","0,40","0,80","11,74","0,40",nekandiduje
554901,Køelov-Bøuchotín,1 373,903,897,"11,03","0,22","0,00","6,91",nekandiduje,"0,11","3,56","6,13","1,00","0,89",nekandiduje,"1,56","0,22","0,00","9,69",nekandiduje,nekandiduje,nekandiduje,"0,00","6,57","31,32","0,00","0,00","0,11","6,80","0,55","0,33","0,00","12,70","0,22",nekandiduje
569003,Liboš,506,317,316,"6,96","0,00","0,00","6,32",nekandiduje,"0,00","5,06","5,37","0,31","0,94",nekandiduje,"0,63","0,31","0,00","11,70",nekandiduje,nekandiduje,nekandiduje,"0,00","3,79","35,12","0,00","0,00","0,31","7,27","0,00","0,00","0,31","15,18","0,31",nekandiduje
552305,Lipina,144,80,80,"16,25","0,00","0,00","3,75",nekandiduje,"0,00","2,50","8,75","1,25","1,25",nekandiduje,"1,25","0,00","0,00","10,00",nekandiduje,nekandiduje,nekandiduje,"0,00","0,00","27,50","0,00","0,00","0,00","8,75","0,00","0,00","0,00","18,75","0,00",nekandiduje
540005,Lipinka,159,90,90,"2,22","0,00","0,00","3,33",nekandiduje,"0,00","14,44","10,00","0,00","0,00",nekandiduje,"1,11","0,00","0,00","6,66",nekandiduje,nekandiduje,nekandiduje,"0,00","5,55","36,66","0,00","0,00","0,00","7,77","0,00","0,00","0,00","12,22","0,00",nekandiduje
503444,Litovel,8 037,4 663,4 629,"7,75","0,15","0,00","8,66",nekandiduje,"0,08","4,64","9,74","1,14","0,49",nekandiduje,"0,97","0,08","0,06","8,96",nekandiduje,nekandiduje,nekandiduje,"0,06","2,28","31,77","0,04","0,04","0,08","8,31","0,47","0,69","0,12","12,83","0,47",nekandiduje
552232,Louèany,542,362,359,"8,63","0,27","0,00","11,97",nekandiduje,"0,00","4,73","6,96","0,27","0,00",nekandiduje,"2,22","0,00","0,27","8,91",nekandiduje,nekandiduje,nekandiduje,"0,27","2,78","27,57","0,27","0,00","0,27","11,69","1,11","0,00","0,55","10,86","0,27",nekandiduje
552038,Louèka,190,105,105,"7,61","0,00","0,00","8,57",nekandiduje,"0,00","6,66","6,66","4,76","4,76",nekandiduje,"0,00","0,00","0,00","13,33",nekandiduje,nekandiduje,nekandiduje,"0,00","1,90","14,28","0,00","0,00","0,00","10,47","0,95","0,95","0,00","19,04","0,00",nekandiduje
552216,Lubìnice,385,243,240,"9,16","0,00","0,00","11,25",nekandiduje,"0,00","5,00","3,33","1,66","0,00",nekandiduje,"1,25","0,00","0,41","17,50",nekandiduje,nekandiduje,nekandiduje,"0,41","0,83","25,41","0,00","0,41","0,83","7,08","0,83","0,41","0,00","14,16","0,00",nekandiduje
503622,Luká,681,422,421,"8,78","0,23","0,00","10,92",nekandiduje,"0,00","3,08","14,25","0,23","1,18",nekandiduje,"4,51","0,00","0,00","7,60",nekandiduje,nekandiduje,nekandiduje,"0,00","1,42","26,12","0,23","0,00","0,00","10,92","0,71","0,23","0,23","8,55","0,71",nekandiduje
503657,Lutín,2 565,1 472,1 464,"5,73","0,13","0,00","8,33",nekandiduje,"0,06","4,03","9,97","1,91","1,02",nekandiduje,"0,75","0,27","0,20","8,81",nekandiduje,nekandiduje,nekandiduje,"0,00","1,57","34,63","0,00","0,00","0,13","5,19","0,06","0,27","0,20","16,12","0,54",nekandiduje
569844,Luice,311,182,180,"7,22","0,00","1,11","2,77",nekandiduje,"0,00","10,55","7,22","1,66","1,11",nekandiduje,"1,11","0,00","0,00","12,22",nekandiduje,nekandiduje,nekandiduje,"0,00","3,33","27,77","0,00","0,00","0,00","3,33","0,00","0,00","0,55","20,00","0,00",nekandiduje
503738,Majetín,941,596,593,"8,93","0,00","0,00","4,72",nekandiduje,"0,16","7,08","8,93","0,33","0,00",nekandiduje,"1,68","0,16","0,00","13,65",nekandiduje,nekandiduje,nekandiduje,"0,00","1,51","33,05","0,00","0,00","0,00","7,75","0,67","0,16","0,16","10,28","0,67",nekandiduje
552372,Medlov,1 271,696,690,"5,94","0,86","0,00","7,24",nekandiduje,"0,28","2,60","12,31","1,01","0,28",nekandiduje,"1,73","0,43","0,14","7,10",nekandiduje,nekandiduje,nekandiduje,"0,00","2,89","34,63","0,00","0,00","0,14","10,28","0,14","0,43","0,43","10,86","0,14",nekandiduje
568911,Mìrotín,216,131,130,"0,76","0,00","0,00","9,23",nekandiduje,"0,00","6,15","10,76","0,76","0,00",nekandiduje,"1,53","0,76","0,00","6,15",nekandiduje,nekandiduje,nekandiduje,"0,00","1,53","20,76","0,00","0,00","0,00","36,15","0,00","0,00","0,00","5,38","0,00",nekandiduje
500160,Mìsto Libavá,537,258,254,"1,57","0,78","0,00","6,29",nekandiduje,"0,39","1,96","16,53","0,39","0,78",nekandiduje,"1,57","0,78","0,00","4,33",nekandiduje,nekandiduje,nekandiduje,"0,00","1,18","35,43","0,00","0,00","0,00","6,69","0,39","0,39","0,00","20,07","0,39",nekandiduje
504246,Mladeè,628,313,311,"10,28","0,00","0,00","5,78",nekandiduje,"0,00","3,53","13,50","0,00","0,64",nekandiduje,"0,32","0,32","0,00","8,36",nekandiduje,nekandiduje,nekandiduje,"0,00","1,28","31,51","0,00","0,00","0,00","10,93","0,64","1,92","0,64","10,28","0,00",nekandiduje
552348,Mladìjovice,557,327,327,"9,17","0,30","0,00","4,58",nekandiduje,"0,30","3,97","11,62","0,91","0,91",nekandiduje,"0,61","0,00","0,00","10,09",nekandiduje,nekandiduje,nekandiduje,"0,00","0,61","34,86","0,00","0,00","0,30","3,66","0,00","0,00","0,30","17,43","0,30",nekandiduje
597678,Moravskı Beroun,2 448,1 208,1 202,"6,32","0,08","0,00","6,65",nekandiduje,"0,08","1,74","16,97","0,58","0,66",nekandiduje,"0,49","0,24","0,24","6,40",nekandiduje,nekandiduje,nekandiduje,"0,00","1,33","39,51","0,24","0,00","0,08","2,66","0,33","0,08","0,08","14,89","0,24",nekandiduje
554944,Mrsklesy,557,345,342,"7,01","0,29","0,29","8,18",nekandiduje,"0,00","3,21","8,77","0,87","0,87",nekandiduje,"2,33","0,58","0,00","7,89",nekandiduje,nekandiduje,nekandiduje,"0,00","4,67","35,08","0,00","0,00","0,00","6,14","0,29","0,29","0,00","11,98","1,16",nekandiduje
547093,Mutkov,41,22,21,"0,00",0,0,3,nekandiduje,"4,76","0,00","4,76","9,52","0,00",nekandiduje,"0,00","0,00","0,00","4,76",nekandiduje,nekandiduje,nekandiduje,"0,00","4,76","38,09","0,00","0,00","0,00","0,00","0,00","0,00","0,00","19,04","0,00",nekandiduje
