KOD,MESTO,VOLICI V SEZNAMU,VYDANE OBALKY,PLATNE HLASY,Obèanská demokratická strana v %,Øád národa - Vlastenecká unie v %,CESTA ODPOVÌDNÉ SPOLEÈNOSTI v %,Èeská str.sociálnì demokratická v %,Cibulka v %,Radostné Èesko v %,STAROSTOVÉ A NEZÁVISLÍ v %,Komunistická str.Èech a Moravy v %,Strana zelenıch v %,"ROZUMNÍ-stop migraci,diktát.EU v %",Spoleè.proti vıst.v Prok.údolí v %,Strana svobodnıch obèanù v %,Blok proti islam.-Obran.domova v %,Obèanská demokratická aliance v %,Èeská pirátská strana v %,OBÈANÉ 2011-SPRAVEDL. PRO LIDI v %,Unie H.A.V.E.L. v %,Èeská národní fronta v %,Referendum o Evropské unii v %,TOP 09 v %,ANO 2011 v %,Dobrá volba 2016 v %,Èeská strana národnì sociální v %,SPR-Republ.str.Èsl. M.Sládka v %,Køes.demokr.unie-Ès.str.lid. v %,REALISTÉ v %,SPORTOVCI v %,Dìlnic.str.sociální spravedl. v %,Svob.a pø.dem.-T.Okamura (SPD) v %,Strana Práv Obèanù v %,Narod_sobì v %
552194,Slavìtín,158,87,87,"4,59","0,00","0,00","6,89",nekandiduje,"0,00","2,29","8,04","0,00","2,29",nekandiduje,"0,00","0,00","1,14","11,49",nekandiduje,nekandiduje,nekandiduje,"0,00","1,14","28,73","0,00","0,00","1,14","19,54","0,00","3,44","0,00","9,19","0,00",nekandiduje
569054,Strukov,127,72,71,"7,04","0,00","0,00","7,04",nekandiduje,"0,00","0,00","11,26","1,40","1,40",nekandiduje,"0,00","5,63","0,00","9,85",nekandiduje,nekandiduje,nekandiduje,"1,40","0,00","15,49","0,00","0,00","0,00","25,35","1,40","0,00","0,00","12,67","0,00",nekandiduje
547018,Støeò,480,313,313,"7,34","0,00","0,00","13,73",nekandiduje,"0,00","3,83","12,46","1,27","0,95",nekandiduje,"0,95","0,00","0,00","8,62",nekandiduje,nekandiduje,nekandiduje,"0,00","0,95","24,60","0,00","0,00","0,31","10,86","0,31","0,00","0,00","13,73","0,00",nekandiduje
569771,Suchonice,145,99,99,"5,05","0,00","0,00","6,06",nekandiduje,"0,00","5,05","15,15","1,01","1,01",nekandiduje,"0,00","0,00","0,00","4,04",nekandiduje,nekandiduje,nekandiduje,"0,00","7,07","21,21","0,00","0,00","0,00","20,20","2,02","1,01","0,00","11,11","0,00",nekandiduje
552429,Svésedlice,162,100,99,"3,03","0,00","0,00","9,09",nekandiduje,"0,00","1,01","10,10","0,00","1,01",nekandiduje,"0,00","0,00","0,00","10,10",nekandiduje,nekandiduje,nekandiduje,"0,00","2,02","22,22","0,00","0,00","0,00","15,15","0,00","0,00","0,00","26,26","0,00",nekandiduje
552011,Štarnov,583,390,386,"5,95","0,00","0,25","8,54",nekandiduje,"0,25","4,14","6,73","0,25","0,25",nekandiduje,"2,59","0,25","0,00","8,29",nekandiduje,nekandiduje,nekandiduje,"0,00","2,33","33,93","0,00","0,00","0,00","9,84","1,29","0,25","0,00","13,98","0,77",nekandiduje
505161,Štìpánov,2 839,1 707,1 691,"6,85","0,53","0,17","7,39",nekandiduje,"0,00","3,19","8,98","1,18","0,70",nekandiduje,"0,88","0,17","0,65","9,46",nekandiduje,nekandiduje,nekandiduje,"0,17","2,60","32,28","0,00","0,00","0,47","7,62","1,06","0,23","0,35","14,60","0,35",nekandiduje
505188,Šternberk,10 931,6 391,6 340,"11,00","0,04","0,11","7,58",nekandiduje,"0,09","2,77","6,70","0,94","0,50",nekandiduje,"1,24","0,07","0,07","9,24",nekandiduje,nekandiduje,nekandiduje,"0,09","3,18","31,75","0,12","0,04","0,12","5,86","0,59","0,25","0,18","17,19","0,14",nekandiduje
505218,Šumvald,1 380,723,717,"9,34","0,00","0,13","7,11",nekandiduje,"0,27","5,29","9,06","0,69","0,97",nekandiduje,"1,53","0,00","0,13","5,02",nekandiduje,nekandiduje,nekandiduje,"0,00","2,51","34,86","0,00","0,00","0,00","5,43","0,13","0,13","0,13","17,15","0,00",nekandiduje
505269,Tìšetice,1 021,634,628,"11,46","0,00","0,00","4,93",nekandiduje,"0,31","5,57","4,61","0,79","0,31",nekandiduje,"2,22","0,00","0,00","8,28",nekandiduje,nekandiduje,nekandiduje,"0,00","3,02","28,82","0,00","0,00","0,31","13,69","0,15","0,47","0,00","14,49","0,47",nekandiduje
