KÓD,MÌSTO,VOLIÈI V SEZNAMU,VYDANÉ OBALKY,PLATNÉ HLASY,Obèanská demokratická strana v %,Øád národa - Vlastenecká unie v %,CESTA ODPOVÌDNÉ SPOLEÈNOSTI v %,Èeská str.sociálnì demokratická v %,Cibulka v %,Radostné Èesko v %,STAROSTOVÉ A NEZÁVISLÍ v %,Komunistická str.Èech a Moravy v %,Strana zelenıch v %,"ROZUMNÍ-stop migraci,diktát.EU v %",Spoleè.proti vıst.v Prok.údolí v %,Strana svobodnıch obèanù v %,Blok proti islam.-Obran.domova v %,Obèanská demokratická aliance v %,Èeská pirátská strana v %,OBÈANÉ 2011-SPRAVEDL. PRO LIDI v %,Unie H.A.V.E.L. v %,Èeská národní fronta v %,Referendum o Evropské unii v %,TOP 09 v %,ANO 2011 v %,Dobrá volba 2016 v %,SPR-Republ.str.Èsl. M.Sládka v %,Køes.demokr.unie-Ès.str.lid. v %,Èeská strana národnì sociální v %,REALISTÉ v %,SPORTOVCI v %,Dìlnic.str.sociální spravedl. v %,Svob.a pø.dem.-T.Okamura (SPD) v %,Strana Práv Obèanù v %,Narod_sobì v %
585262,Hrobice,381,218,217,"11,05","1,38","0,00","9,67",nekandiduje,"0,46","8,29","5,06","0,92","1,84",nekandiduje,"0,46","0,46","0,00","4,60",nekandiduje,nekandiduje,nekandiduje,"0,00","0,92","22,58","0,00","0,00","18,43",nekandiduje,"0,00","0,46","0,00","12,90","0,46",nekandiduje
585271,Høivínùv Újezd,452,283,283,"5,65","0,00","0,00","7,06",nekandiduje,"0,00","6,00","8,83","0,35","0,00",nekandiduje,"0,35","0,00","0,00","4,94",nekandiduje,nekandiduje,nekandiduje,"0,00","1,41","32,50","0,35","0,00","13,42",nekandiduje,"0,00","0,00","0,00","18,37","0,70",nekandiduje
585289,Hvozdná,1 016,713,707,"11,03","0,14","0,14","8,48",nekandiduje,"0,00","5,94","4,66","1,13","0,28",nekandiduje,"1,27","0,00","0,00","10,74",nekandiduje,nekandiduje,nekandiduje,"0,14","2,82","22,34","0,00","0,28","16,40",nekandiduje,"1,13","0,42","0,14","12,02","0,42",nekandiduje
585301,Jasenná,761,494,493,"10,95","0,20","0,00","5,67",nekandiduje,"0,20","8,31","7,30","1,21","0,81",nekandiduje,"3,24","0,00","0,20","7,70",nekandiduje,nekandiduje,nekandiduje,"0,00","3,24","26,36","0,00","0,40","6,69",nekandiduje,"0,81","0,20","0,40","15,41","0,60",nekandiduje
585319,Jestøabí,232,115,115,"6,08","0,86","0,00","13,04",nekandiduje,"0,00","6,95","11,30","0,00","3,47",nekandiduje,"0,86","0,00","0,00","5,21",nekandiduje,nekandiduje,nekandiduje,"0,00","1,73","19,13","0,00","0,00","24,34",nekandiduje,"0,00","0,00","0,86","4,34","1,73",nekandiduje
585327,Kaòovice,225,144,143,"2,09","0,00","0,00","5,59",nekandiduje,"0,00","2,79","17,48","1,39","0,69",nekandiduje,"1,39","0,00","0,00","9,09",nekandiduje,nekandiduje,nekandiduje,"0,00","0,00","18,88","0,00","1,39","13,28",nekandiduje,"0,69","0,00","0,00","23,77","1,39",nekandiduje
587052,Karlovice,192,135,134,"8,20","0,00","0,00","6,71",nekandiduje,"0,00","3,73","5,97","0,00","0,74",nekandiduje,"0,74","0,00","0,00","6,71",nekandiduje,nekandiduje,nekandiduje,"0,00","2,98","35,07","0,00","0,74","14,92",nekandiduje,"0,74","0,00","0,00","12,68","0,00",nekandiduje
585343,Kašava,718,502,499,"6,01","0,20","0,00","5,01",nekandiduje,"0,00","8,81","4,60","1,00","0,80",nekandiduje,"1,20","0,00","0,20","6,21",nekandiduje,nekandiduje,nekandiduje,"0,00","1,40","23,44","0,20","0,00","22,24",nekandiduje,"1,00","0,20","0,00","17,23","0,20",nekandiduje
592251,Kelníky,127,93,93,"12,90","0,00","0,00","7,52",nekandiduje,"0,00","2,15","8,60","3,22","1,07",nekandiduje,"1,07","0,00","0,00","4,30",nekandiduje,nekandiduje,nekandiduje,"0,00","1,07","16,12","0,00","2,15","22,58",nekandiduje,"0,00","0,00","0,00","16,12","1,07",nekandiduje
549436,Komárov,285,187,185,"3,24","3,24","0,00","5,40",nekandiduje,"0,54","4,86","7,02","1,62","0,00",nekandiduje,"2,16","0,00","0,00","9,18",nekandiduje,nekandiduje,nekandiduje,"0,00","2,16","22,70","0,00","0,00","13,51",nekandiduje,"2,16","1,62","0,54","18,37","1,62",nekandiduje
586960,Køekov,138,84,82,"3,65","0,00","0,00","8,53",nekandiduje,"1,21","13,41","8,53","0,00","0,00",nekandiduje,"0,00","0,00","0,00","8,53",nekandiduje,nekandiduje,nekandiduje,"0,00","2,43","13,41","0,00","0,00","17,07",nekandiduje,"0,00","0,00","0,00","23,17","0,00",nekandiduje
573434,Lhota,695,448,445,"4,94","0,44","0,00","4,04",nekandiduje,"0,22","4,71","5,39","0,67","0,44",nekandiduje,"1,12","0,00","0,22","11,91",nekandiduje,nekandiduje,nekandiduje,"0,22","2,02","28,31","0,00","0,22","23,37",nekandiduje,"0,00","0,67","0,44","9,43","1,12",nekandiduje
549550,Lhotsko,228,141,141,"6,38","0,00","0,00","7,09",nekandiduje,"0,00","7,80","2,12","0,00","1,41",nekandiduje,"2,12","0,00","0,70","14,89",nekandiduje,nekandiduje,nekandiduje,"0,00","5,67","31,91","0,00","0,00","3,54",nekandiduje,"0,00","0,70","0,00","15,60","0,00",nekandiduje
549622,Lípa,683,495,490,"15,30","0,40","0,20","4,08",nekandiduje,"0,00","4,48","5,10","0,40","0,81",nekandiduje,"1,63","0,00","0,00","13,46",nekandiduje,nekandiduje,nekandiduje,"0,00","4,69","26,93","0,20","0,00","9,59",nekandiduje,"0,20","0,00","0,00","12,24","0,20",nekandiduje
586871,Lipová,289,199,199,"6,53","0,50","0,00","3,51",nekandiduje,"0,00","3,01","7,03","1,00","1,50",nekandiduje,"1,50","0,00","0,00","7,03",nekandiduje,nekandiduje,nekandiduje,"0,00","1,50","33,66","0,00","0,00","15,57",nekandiduje,"1,00","0,00","0,00","15,57","1,00",nekandiduje
585432,Louèka,429,253,250,"8,40","0,00","0,00","3,60",nekandiduje,"0,00","6,40","8,80","0,40","1,60",nekandiduje,"1,60","0,40","0,00","6,00",nekandiduje,nekandiduje,nekandiduje,"0,40","0,40","27,20","0,00","0,40","22,00",nekandiduje,"0,00","0,00","0,00","11,20","1,20",nekandiduje
585441,Ludkovice,575,394,392,"8,67","0,00","0,00","9,18",nekandiduje,"0,00","4,08","4,33","1,02","0,00",nekandiduje,"3,57","0,00","0,00","12,24",nekandiduje,nekandiduje,nekandiduje,"0,00","3,82","28,57","0,00","0,00","10,96",nekandiduje,"0,51","0,25","0,00","11,47","1,27",nekandiduje
