KOD,MESTO,VOLICI V SEZNAMU,VYDANE OBALKY,PLATNE HLASY,Obèanská demokratická strana v %,Øád národa - Vlastenecká unie v %,CESTA ODPOVÌDNÉ SPOLEÈNOSTI v %,Èeská str.sociálnì demokratická v %,Cibulka v %,Radostné Èesko v %,STAROSTOVÉ A NEZÁVISLÍ v %,Komunistická str.Èech a Moravy v %,Strana zelenıch v %,"ROZUMNÍ-stop migraci,diktát.EU v %",Spoleè.proti vıst.v Prok.údolí v %,Strana svobodnıch obèanù v %,Blok proti islam.-Obran.domova v %,Obèanská demokratická aliance v %,Èeská pirátská strana v %,OBÈANÉ 2011-SPRAVEDL. PRO LIDI v %,Unie H.A.V.E.L. v %,Èeská národní fronta v %,Referendum o Evropské unii v %,TOP 09 v %,ANO 2011 v %,Dobrá volba 2016 v %,SPR-Republ.str.Èsl. M.Sládka v %,Køes.demokr.unie-Ès.str.lid. v %,Èeská strana národnì sociální v %,REALISTÉ v %,SPORTOVCI v %,Dìlnic.str.sociální spravedl. v %,Svob.a pø.dem.-T.Okamura (SPD) v %,Strana Práv Obèanù v %,Narod_sobì v %
532622,Makotøasy,340,226,226,"10,61","0,00","0,00","6,63",nekandiduje,"0,00","4,86","5,30","2,65","0,44",nekandiduje,"2,65","0,00","0,00",25,nekandiduje,"0,00",nekandiduje,"0,00","7,96","32,30","1,32","0,00","1,76","0,00","0,88","0,00","0,00","11,50","0,00",nekandiduje
532631,Malé Kyšice,385,276,273,"17,58","0,36","0,36","6,59",nekandiduje,"0,00","4,02","3,66","1,83","0,00",nekandiduje,"2,19","0,00","0,00",40,nekandiduje,"0,00",nekandiduje,"0,00","8,79","24,54","0,00","0,00","1,83","0,00","1,09","0,00","0,00","12,08","0,36",nekandiduje
513113,Malé Pøítoèno,199,136,134,"22,38","0,00","0,00","6,71",nekandiduje,"0,00","7,46","6,71","1,49","0,00",nekandiduje,"2,23","0,00","0,74",18,nekandiduje,"0,00",nekandiduje,"0,00","7,46","23,13","0,00","0,00","0,74","0,00","0,00","0,00","0,00","7,46","0,00",nekandiduje
532657,Malíkovice,321,192,192,"8,85","0,00","0,52","5,72",nekandiduje,"0,52","6,77","14,06","2,60","0,52",nekandiduje,"3,12","0,00","0,00",15,nekandiduje,"0,00",nekandiduje,"0,00","2,08","29,16","0,00","0,52","1,04","0,00","0,52","1,04","0,00","15,10","0,00",nekandiduje
571521,Neprobylice,134,80,78,"11,53","0,00","0,00","8,97",nekandiduje,"0,00","3,84","5,12","0,00","1,28",nekandiduje,"0,00","0,00","0,00",9,nekandiduje,"0,00",nekandiduje,"0,00","2,56","29,48","0,00","0,00","0,00","0,00","0,00","1,28","1,28","23,07","0,00",nekandiduje
532665,Neumìøice,330,184,184,"12,50","0,00","0,00","5,97",nekandiduje,"0,00","4,89","8,69","0,00","1,63",nekandiduje,"0,54","0,00","0,00",24,nekandiduje,"0,00",nekandiduje,"0,00","3,26","32,06","0,00","0,00","0,00","0,54","0,00","0,00","0,54","15,76","0,54",nekandiduje
532681,Otvovice,598,388,385,"12,72","0,00","0,00","5,71",nekandiduje,"0,25","4,41","11,42","0,51","1,55",nekandiduje,"1,29","0,51","0,25",34,nekandiduje,"0,00",nekandiduje,"0,00","6,49","35,06","0,00","0,25","1,29","0,00","0,77","0,00","1,81","6,23","0,51",nekandiduje
564192,Páleè,165,98,98,"4,08","1,02","0,00","6,12",nekandiduje,"0,00","10,20","13,26","1,02","0,00",nekandiduje,"1,02","0,00","0,00",3,nekandiduje,"0,00",nekandiduje,"0,00","0,00","45,91","0,00","1,02","1,02","0,00","0,00","0,00","1,02","11,22","0,00",nekandiduje
532711,Pavlov,135,86,85,"12,94","1,17","0,00","3,52",nekandiduje,"1,17","4,70","14,11","0,00","1,17",nekandiduje,"2,35","0,00","0,00",15,nekandiduje,"1,17",nekandiduje,"1,17","11,76","8,23","0,00","0,00","3,52","0,00","0,00","2,35","1,17","11,76","0,00",nekandiduje
532720,Pchery,1 556,930,922,"9,32","0,00","0,10","8,45",nekandiduje,"0,10","5,31","13,44","0,97","1,40",nekandiduje,"2,38","0,21","0,21",92,nekandiduje,"0,10",nekandiduje,"0,21","3,57","28,85","0,10","0,43","0,75","0,00","0,21","0,00","0,32","13,01","0,43",nekandiduje
532738,Pletenı Újezd,401,268,267,"17,60","0,37","0,00","5,24",nekandiduje,"0,00","6,36","9,36","0,74","0,37",nekandiduje,"0,00","0,37","0,37",29,nekandiduje,"0,00",nekandiduje,"0,00","5,61","26,59","0,37","0,00","2,62","0,37","0,74","0,37","0,37","10,86","0,37",nekandiduje
564125,Plchov,158,104,104,"3,84","0,96","0,00","4,80",nekandiduje,"0,00","8,65","18,26","1,92","0,00",nekandiduje,"0,00","0,00","0,00",13,nekandiduje,"0,00",nekandiduje,"0,00","1,92","42,30","0,00","0,00","3,84","0,00","0,00","0,00","0,00","0,96","0,00",nekandiduje
532754,Podlešín,253,152,150,"8,66","0,00","0,00","11,33",nekandiduje,"0,66","10,00","10,66","2,00","0,00",nekandiduje,"2,66","0,66","0,00",14,nekandiduje,"0,00",nekandiduje,"0,00","2,66","27,33","0,00","0,00","3,33","0,00","0,00","0,00","0,00","10,00","0,66",nekandiduje
564087,Poštovice,176,115,114,"6,14","0,00","0,00","1,75",nekandiduje,"0,00","4,38","10,52","0,00","0,87",nekandiduje,"0,00","0,00","0,00",11,nekandiduje,"0,00",nekandiduje,"0,00","0,87","36,84","0,00","0,00","6,14","0,00","0,00","0,87","1,75","19,29","0,87",nekandiduje
