KOD,MESTO,VOLICI V SEZNAMU,VYDANE OBALKY,PLATNE HLASY,Obèanská demokratická strana v %,Øád národa - Vlastenecká unie v %,CESTA ODPOVÌDNÉ SPOLEÈNOSTI v %,Èeská str.sociálnì demokratická v %,Cibulka v %,Radostné Èesko v %,STAROSTOVÉ A NEZÁVISLÍ v %,Komunistická str.Èech a Moravy v %,Strana zelenıch v %,"ROZUMNÍ-stop migraci,diktát.EU v %",Spoleè.proti vıst.v Prok.údolí v %,Strana svobodnıch obèanù v %,Blok proti islam.-Obran.domova v %,Obèanská demokratická aliance v %,Èeská pirátská strana v %,OBÈANÉ 2011-SPRAVEDL. PRO LIDI v %,Unie H.A.V.E.L. v %,Èeská národní fronta v %,Referendum o Evropské unii v %,TOP 09 v %,ANO 2011 v %,Dobrá volba 2016 v %,SPR-Republ.str.Èsl. M.Sládka v %,Køes.demokr.unie-Ès.str.lid. v %,Èeská strana národnì sociální v %,REALISTÉ v %,SPORTOVCI v %,Dìlnic.str.sociální spravedl. v %,Svob.a pø.dem.-T.Okamura (SPD) v %,Strana Práv Obèanù v %,Narod_sobì v %
535010,Bìleè,262,181,181,"12,70","0,00","0,00","10,49",nekandiduje,"0,00","7,18","6,07","0,55","1,10",nekandiduje,"0,00","0,00","0,00",22,nekandiduje,"0,00",nekandiduje,"0,00","6,07","33,70","0,00","0,00","3,31","0,00","0,55","0,55","0,55","4,41","0,55",nekandiduje
532070,Bìloky,135,102,101,"11,88","0,00","0,00","9,90",nekandiduje,"0,00","5,94","11,88","0,99","0,00",nekandiduje,"2,97","0,00","0,00",16,nekandiduje,"0,00",nekandiduje,"0,00","7,92","20,79","0,00","0,00","2,97","0,00","0,00","0,00","0,00","8,91","0,00",nekandiduje
532088,Beøovice,272,152,152,"13,81","0,00","0,00","7,89",nekandiduje,"0,00","8,55","3,94","1,97","1,97",nekandiduje,"1,31","0,65","0,00",18,nekandiduje,"0,00",nekandiduje,"0,00","3,28","32,89","0,00","0,65","0,00","0,00","0,00","0,00","0,00","11,18","0,00",nekandiduje
535125,Bílichov,155,99,99,"7,07","0,00","0,00","9,09",nekandiduje,"0,00","10,10","14,14","0,00","0,00",nekandiduje,"4,04","0,00","0,00",8,nekandiduje,"0,00",nekandiduje,"0,00","4,04","33,33","0,00","0,00","1,01","0,00","0,00","0,00","0,00","8,08","1,01",nekandiduje
532100,Blevice,243,172,171,"6,43","0,58","0,00","11,11",nekandiduje,"0,00","7,60","23,39","1,75","1,75",nekandiduje,"1,16","0,00","0,00",22,nekandiduje,"0,00",nekandiduje,"0,00","4,67","15,20","0,00","0,58","2,33","0,00","1,16","0,00","0,58","8,18","0,58",nekandiduje
532118,Brandısek,1 438,894,883,"11,21","0,11","0,11","7,92",nekandiduje,"0,11","5,54","9,39","1,58","0,79",nekandiduje,"1,47","0,33","0,00",128,nekandiduje,"0,00",nekandiduje,"0,00","3,17","30,12","0,00","0,22","1,13","0,00","0,45","0,11","0,22","11,09","0,33",nekandiduje
532126,Braškov,847,625,619,"14,53","0,00","0,00","5,65",nekandiduje,"0,00","6,46","8,72","1,77","0,80",nekandiduje,"1,13","0,00","0,00",101,nekandiduje,"0,00",nekandiduje,"0,00","8,23","26,49","0,00","0,32","2,10","0,00","0,48","0,00","0,32","6,62","0,00",nekandiduje
532142,Bratronice,749,489,487,"15,40","0,00","0,00","4,72",nekandiduje,"0,61","6,98","11,08","0,41","1,84",nekandiduje,"2,05","0,00","0,00",51,nekandiduje,"0,00",nekandiduje,"0,20","3,90","28,13","0,00","0,20","1,64","0,00","0,61","0,20","0,00","11,29","0,20",nekandiduje
532169,Buštìhrad,2 508,1 645,1 639,"15,00","0,00","0,18","5,30",nekandiduje,"0,12","7,19","7,01","1,09","0,48",nekandiduje,"2,13","0,12","0,06",242,nekandiduje,"0,00",nekandiduje,"0,06","7,62","26,05","0,00","0,18","3,41","0,12","0,48","0,18","0,18","7,74","0,42",nekandiduje
532185,Cvrèovice,568,354,353,"15,01","0,28","0,00","6,23",nekandiduje,"0,28","5,66","12,74","0,56","0,84",nekandiduje,"1,41","0,00","0,00",41,nekandiduje,"0,00",nekandiduje,"0,00","5,38","24,92","0,00","0,00","1,98","0,00","1,13","0,00","0,00","11,61","0,28",nekandiduje
532207,Èernuc,810,418,414,"8,69","0,48","0,00","5,55",nekandiduje,"0,00","5,07","9,66","2,41","1,20",nekandiduje,"0,96","0,24","0,00",50,nekandiduje,"0,00",nekandiduje,"0,48","2,41","30,91","0,00","1,20","1,20","0,00","0,72","0,00","0,00","15,21","1,44",nekandiduje
532223,Doksy,1 263,811,806,"16,25","0,24","0,00","4,09",nekandiduje,"0,24","6,57","7,56","1,73","0,99",nekandiduje,"2,97","0,00","0,12",108,nekandiduje,"0,00",nekandiduje,"0,00","5,45","27,54","0,00","0,37","1,73","0,00","0,62","0,24","0,00","9,67","0,12",nekandiduje
513130,Dolany,188,131,129,"12,40","0,00","0,00","6,97",nekandiduje,"0,00","15,50","4,65","0,77","1,55",nekandiduje,"0,77","0,00","0,00",14,nekandiduje,"2,32",nekandiduje,"0,00","7,75","20,93","0,00","0,77","1,55","0,00","2,32","0,00","0,00","9,30","1,55",nekandiduje
512991,Drnek,141,100,100,"13,00","0,00","0,00","4,00",nekandiduje,"0,00","16,00","15,00","0,00","1,00",nekandiduje,"1,00","1,00","0,00",7,nekandiduje,"0,00",nekandiduje,"0,00","2,00","19,00","0,00","0,00","4,00","0,00","0,00","0,00","0,00","17,00","0,00",nekandiduje
532274,Druec,830,564,563,"16,34","0,17","0,17","7,63",nekandiduje,"0,35","7,46","7,10","0,53","0,71",nekandiduje,"1,77","0,17","0,00",66,nekandiduje,"0,00",nekandiduje,"0,00","6,92","27,70","0,00","0,71","1,42","0,00","0,17","0,00","0,00","8,52","0,35",nekandiduje
532282,Døetovice,366,226,224,"8,48","0,00","0,00","7,14",nekandiduje,"0,00","3,12","15,17","1,78","0,89",nekandiduje,"1,78","0,44","0,44",24,nekandiduje,"0,00",nekandiduje,"0,00","4,01","26,33","0,00","0,44","0,00","0,00","0,44","0,44","0,00","18,30","0,00",nekandiduje
532291,Døínov,255,140,140,"7,85","0,71","0,71","5,00",nekandiduje,"0,00","8,57","12,14","0,00","0,00",nekandiduje,"0,71","0,00","0,00",8,nekandiduje,"0,00",nekandiduje,"0,00","0,71","39,28","0,00","0,00","2,85","0,00","0,00","0,00","0,71","15,00","0,00",nekandiduje
513075,Hobšovice,282,141,141,"9,92","0,00","0,00","4,96",nekandiduje,"0,00","3,54","7,80","1,41","0,00",nekandiduje,"0,70","0,00","0,70",20,nekandiduje,"0,00",nekandiduje,"0,00","1,41","33,33","0,00","0,70","3,54","0,00","0,70","0,00","2,12","14,89","0,00",nekandiduje
532312,Horní Bezdìkov,482,381,381,"20,47","0,00","0,00","4,72",nekandiduje,"0,00","5,77","8,13","0,52","0,78",nekandiduje,"0,52","0,00","0,26",60,nekandiduje,"0,00",nekandiduje,"0,00","6,03","24,93","0,00","0,00","3,93","0,00","0,52","0,00","0,00","7,61","0,00",nekandiduje
532321,Hoøešovice,214,144,142,"23,94","0,00","0,00","7,04",nekandiduje,"0,00","5,63","7,74","0,70","0,00",nekandiduje,"0,70","0,00","0,00",6,nekandiduje,"0,00",nekandiduje,"0,00","6,33","38,02","0,00","0,70","0,70","0,00","0,00","0,00","0,00","4,22","0,00",nekandiduje
535150,Hoøešovièky,99,60,60,"6,66","0,00","0,00","10,00",nekandiduje,"0,00","1,66","18,33","0,00","0,00",nekandiduje,"5,00","0,00","0,00",3,nekandiduje,"0,00",nekandiduje,"0,00","1,66","33,33","0,00","0,00","1,66","0,00","0,00","0,00","0,00","16,66","0,00",nekandiduje
532339,Hospozín,415,192,191,"9,94","0,52","0,00","5,23",nekandiduje,"0,00","9,94","16,23","0,52","0,00",nekandiduje,"2,61","0,00","0,00",12,nekandiduje,"0,00",nekandiduje,"0,52","2,09","31,41","0,00","0,52","2,09","0,00","0,00","0,00","0,52","11,51","0,00",nekandiduje
532347,Hostouò,915,573,568,"14,96","0,00","0,00","4,92",nekandiduje,"0,17","6,33","7,04","1,58","0,88",nekandiduje,"1,40","0,17","0,35",68,nekandiduje,"0,00",nekandiduje,"0,17","6,86","28,87","0,00","0,35","2,64","0,00","0,88","0,17","0,17","9,68","0,35",nekandiduje
532355,Hradeèno,409,264,263,"15,58","0,00","0,00","3,42",nekandiduje,"0,00","5,70","6,46","0,38","0,38",nekandiduje,"0,76","0,00","0,00",43,nekandiduje,"0,00",nekandiduje,"0,00","7,60","31,93","0,00","0,00","2,28","0,00","0,38","0,00","0,38","7,98","0,38",nekandiduje
532363,Hrdlív,392,251,250,"10,40","0,00","0,00","7,20",nekandiduje,"0,00","3,20","9,20","0,40","1,60",nekandiduje,"3,20","0,00","0,00",22,nekandiduje,"0,00",nekandiduje,"0,00","3,60","38,00","0,00","0,40","4,00","0,00","0,40","0,40","0,00","9,20","0,00",nekandiduje
532371,Høebeè,1 528,979,946,"15,01","0,10","0,10","3,91",nekandiduje,"0,00","6,87","4,54","0,73","0,52",nekandiduje,"2,21","0,10","0,10",140,nekandiduje,"0,10",nekandiduje,"0,00","6,02","33,08","0,00","0,21","1,47","0,10","0,52","0,00","0,21","9,09","0,10",nekandiduje
532398,Chrín,204,124,124,"6,45","0,00","0,00","9,67",nekandiduje,"0,80","8,87","10,48","2,41","0,00",nekandiduje,"0,80","0,00","0,00",14,nekandiduje,"0,00",nekandiduje,"0,80","1,61","33,87","0,00","0,00","0,00","0,00","0,80","0,00","0,80","11,29","0,00",nekandiduje
532401,Jarpice,228,137,137,"8,75","0,00","0,00","3,64",nekandiduje,"0,72","6,56","20,43","0,72","2,91",nekandiduje,"0,00","0,00","0,00",13,nekandiduje,"0,00",nekandiduje,"0,00","3,64","32,11","0,00","0,00","4,37","0,00","0,00","0,00","0,00","6,56","0,00",nekandiduje
532410,Jedomìlice,305,203,202,"11,38","0,00","0,00","6,93",nekandiduje,"0,00","13,86","10,89","0,49","1,48",nekandiduje,"2,97","0,00","0,00",17,nekandiduje,"0,00",nekandiduje,"0,49","3,96","23,76","0,00","0,49","0,99","0,00","1,48","0,00","1,48","10,89","0,00",nekandiduje
532428,Jemníky,204,142,142,"15,49","0,00","0,00","3,52",nekandiduje,"0,00","11,26","10,56","0,70","0,00",nekandiduje,"0,00","0,00","0,70",17,nekandiduje,"0,00",nekandiduje,"0,00","4,22","23,94","0,00","0,00","4,92","0,00","0,70","0,00","0,00","11,97","0,00",nekandiduje
532444,Kaèice,990,612,612,"11,43","0,00","0,00","6,04",nekandiduje,"0,00","6,20","10,45","1,14","0,65",nekandiduje,"1,47","0,32","0,00",77,nekandiduje,"0,16",nekandiduje,"0,00","2,12","34,15","0,00","0,16","0,49","0,00","0,81","0,00","0,00","11,11","0,65",nekandiduje
532452,Kamenné ehrovice,1 426,930,923,"11,59","0,21","0,00","6,28",nekandiduje,"0,10","4,22","10,07","1,30","0,97",nekandiduje,"1,19","0,10","0,00",114,nekandiduje,"0,10",nekandiduje,"0,00","4,65","33,26","0,10","0,43","1,08","0,00","0,65","0,54","0,00","10,72","0,00",nekandiduje
513032,Kamennı Most,356,197,196,"12,75","0,00","0,00","4,08",nekandiduje,"0,00","6,63","16,32","1,53","0,51",nekandiduje,"1,02","0,00","0,00",21,nekandiduje,"1,02",nekandiduje,"0,51","3,06","27,55","0,00","0,00","2,04","0,51","0,00","0,51","0,00","10,71","0,51",nekandiduje
532053,Kladno,53 652,29 228,29 034,"11,35","0,16","0,04","6,89",nekandiduje,"0,14","4,42","8,54","1,49","0,69",nekandiduje,"2,04","0,05","0,12",3 480,nekandiduje,"0,04",nekandiduje,"0,05","5,33","30,48","0,06","0,23","2,28","0,03","0,77","0,13","0,15","12,14","0,27",nekandiduje
532461,Klobuky,822,434,430,"5,58","0,00","0,00","14,41",nekandiduje,"0,00","3,25","11,86","1,16","0,23",nekandiduje,"3,02","0,00","0,00",45,nekandiduje,"0,00",nekandiduje,"0,00","2,32","30,00","0,23","1,16","1,86","0,00","0,00","0,46","0,69","13,02","0,23",nekandiduje
